2
L10 L9
F2 F5
G3 H9
C8 C3
G9 L4
D11 M4
G3 D8
F5 F3
G9 E7
F3 L8
G3 F8
M4 M12
G9 G8
C8 D5
G9 D1
C8 L2
G3 I8
L8 B7
G9 H5
L10 F6
N2 D6
C8 G4
L10 E7
B7 I7
D6 C5
I7 D10
L10 M9
C8 F7
C5 E4
M12 I3
G3 M10
D10 H12
E4 I4
C8 G8
I4 L2
I3 I4
G3 C11
H12 B3
L10 F3
C8 D6
L10 E3
I4 M7
L10 H9
C8 G6
L2 M4
C8 N7
M4 E3
C8 B12
G9 E9
C8 N9
G3 A4
B3 L5
G3 E4
L5 F9
L10 L4
C8 L6
E3 N6
L10 F3
G3 L11
L10 E8
N6 C9
F9 L2
C9 D4
L10 L12
L10 E11
L2 M12
L10 I4
C8 B12
G9 D12
L10 F1
G9 L1
L10 C9
D4 C3
C8 F12
G9 I2
L10 L4
L10 I6
C8 E2
G3 G11
M12 C3
G9 H9
C3 B5
G9 F11
C8 E11
G3 M2
M7 L9
G9 C1
L10 D1
G9 E2
B5 L6
C3 D4
L6 G4
G3 M2
L9 C11
D4 F3
C11 G2
F3 E7
L10 B3
G9 M11
L10 F2
L10 N2
C8 A8
E7 B9
L10 A10
L10 A1
C8 B3
G3 E6
G2 C5
G3 N1
C5 F9
G3 F2
F9 L8
L10 C5
G4 C6
L10 C5
L10 A9
B9 A6
L10 I1
G9 M8
C8 E2
G9 M9
L8 H7
G9 E12
C8 I11
L10 I1
C6 D11
G9 N9
D11 E4
G3 D7
H7 D7
L10 L9
L10 M7
L10 C8
C8 F9
L10 D12
D7 M6
G3 I11
E4 C6
L10 M4
L10 D5
G3 M12
C6 F7
L10 I7
M6 C5
G9 I1
F7 L2
G3 E12
C5 F2
G3 I5
L2 C12
L10 L2
C8 A10
G3 A10
L10 B10
L10 A7
C12 F3
G9 D2
F3 I6
L10 F9
F2 E11
A6 C11
L10 C11
G3 E7
L10 A11
G9 G6
E11 F5
G9 H2
L10 H12
C11 C7
C8 N6
G3 H4
F5 D10
G3 C3
D10 E11
C7 B5
I6 F4
G3 L9
L10 H12
B5 B10
C8 I5
B10 F2
C8 N3
G9 G4
L10 B12
G9 A10
L10 B9
G9 D10
C8 L8
G3 C1
C8 M11
G9 F12
E11 E9
G9 I3
C8 H10
L10 N11
E9 G5
L10 D11
C8 M6
L10 N4
L10 L3
L10 H8
G5 I7
L10 D9
C8 H12
G9 B12
F4 F3
F2 N6
C8 A1
L10 N11
I7 B3
G9 G5
B3 D6
N6 N2
C8 D2
G9 A6
F3 E11
G3 C12
L10 A7
L10 C4
C8 C6
L10 A9
L10 C10
G9 C1
L10 F9
G9 N4
C8 M10
G9 N5
E11 H4
G3 C4
C8 F9
G9 H8
L10 N12
G9 E7
C8 B1
G3 H2
C8 N3
G9 G2
H4 E3
G9 G6
L10 F7
G3 I5
L10 N8
G3 E1
C8 M3
G3 E10
C8 H5
G3 M1
C8 C12
G3 E7
D6 D2
G9 D9
L10 L9
G3 N4
L10 H5
G3 C7
L10 D1
G3 M3
L10 M1
G9 G7
E3 M2
G3 F5
D2 D1
G9 M7
L10 B9
G9 F8
M2 E7
G9 B6
C8 D9
G3 I2
L10 D4
G3 G9
L10 L11
G9 N6
E7 B7
G9 N6
L10 E10
G3 H4
L10 N3
G9 D10
B7 M5
G3 D2
C8 E4
G9 H3
C8 A8
G9 N9
M5 M1
G9 E7
D1 M11
G3 A8
M11 G6
G3 I4
C8 L10
G9 H11
M1 G3
G9 M9
L10 C6
G9 H2
L10 L8
G9 F8
L10 I8
G3 L11
G6 E4
G3 D2
E4 I4
G3 N6
C8 A2
G9 F11
C8 F3
G3 F3
C8 M3
G9 B3
G3 M1
G9 I9
M1 C9
G9 L6
C9 L1
G9 H8
C8 H6
G9 B9
L1 L12
G9 H7
L12 C3
G9 A4
C8 E8
G3 I9
L10 F11
G3 I7
C8 N12
G9 G7
I4 L5
G3 A5
L5 E9
G9 B9
C8 B9
G3 A8
L10 I12
G3 B11
L10 I5
G3 F1
L10 F6
G3 F3
E9 C12
G9 D9
C3 C2
G3 N7
C8 L6
G3 N2
C12 L2
G9 L7
L2 G12
G3 H5
C8 G12
G9 I10
C2 C4
G9 D1
